Trial_set,Trial,det,time,ID,Activity,eat,dist,App_type,Intent,Reaction
1,1,Rpela,11.2955,Batman,Passing,0,3317.79,D,M,N
1,2,Mband,2.8144,Batman,Feeding,1,0,V,H,N
1,3,Control,14.3899,Batman,Passing,0,3800.78,D,L,N
1,4,Wax,7.108,unknown,Passing,0,NA,D,L,N
1,5,SS,9.308,Batman,Passing,0,839.107,V,H,Y
1,6,Mleash,14.4619,Batman,Passing,0,4133.266,D,L,N
2,1,Wax,10,unknown,Passing,0,5000,S,L,N
2,2,Mleash,0.9078,Anchor,Feeding,1,0,S,M,N
2,3,Control,10.8894,Anchor,Feeding,1,0,S,H,N
2,4,Mband,3.1372,Anchor,Passing,0,1941.415,D,M,N
2,5,SS,14.4649,unknown,Passing,0,NA,D,L,N
2,6,Rpela,10,unknown,Passing,0,NA,S,M,N
3,1,Mleash,10.5086,unknown,Passing,0,4994.949,D,L,N
3,2,Wax,13.0419,Anchor,Passing,0,1969.714,D,L,N
3,3,Control,11.6916,Franklin,Feeding,1,0,S,H,N
3,4,Mband,2.2464,Franklin,Feeding,1,0,S,H,N
3,5,SS,11.83,Franklin,Feeding,1,0,S,H,N
3,6,Rpela,7.0347,Franklin,Feeding,1,0,S,H,N
4,1,Wax,14.9131,Franklin,Feeding,1,0,S,H,N
4,2,Rpela,3.2395,Franklin,Feeding,1,0,S,H,N
4,3,SS,9.4156,Franklin,Passing,0,3157.372,D,L,N
4,4,Control,2.9028,Franklin,Feeding,1,0,S,H,N
4,5,Mleash,6.7706,Franklin,Feeding,1,0,S,H,N
4,6,Mband,1.9064,Franklin,Feeding,1,0,S,H,N
5,1,SS,10.2361,Cipher,Passing,0,1924,S,H,Y
5,2,Wax,1.1572,Franklin,Feeding,1,0,S,H,N
5,3,Mleash,1.5575,Franklin,Feeding,1,0,S,H,N
5,4,Control,4.4528,Franklin,Feeding,1,0,S,H,N
5,5,Rpela,3.8867,Shark 3,Feeding,1,0,V,H,N
5,6,Mband,1.3467,Franklin,Feeding,1,0,S,H,N
6,1,Rpela,0.6672,Franklin,Feeding,1,0,S,H,N
6,2,SS,5.8083,Cipher,Passing,0,2117.721,S,H,N
6,3,Control,0.5942,Pavarotti,Feeding,1,0,S,H,N
6,4,Mband,0.3556,Franklin,Feeding,1,0,S,H,N
6,5,Wax,6.58,Pavarotti,Feeding,1,0,S,H,N
6,6,Mleash,10.9684,Pavarotti,Feeding,1,0,S,H,N
7,1,Control,1.9383,Pavarotti,Feeding,1,0,S,H,N
7,2,Mleash,6.9011,Pavarotti,Feeding,1,0,S,H,N
7,3,SS,6.1356,Crescent,Passing,0,NA,D,L,N
7,4,Mband,2.5733,Pavarotti,Feeding,1,0,S,H,N
7,5,Rpela,3.1264,Pavarotti,Feeding,1,0,S,H,N
7,6,Wax,5.0564,Pavarotti,Feeding,1,0,S,H,N
8,1,Mband,4.1025,Pavarotti,Feeding,1,0,S,H,N
8,2,Mleash,3.7528,unknown,Feeding,1,0,S,H,N
8,3,Control,3.727,unknown,Feeding,1,0,S,H,N
8,4,SS,12.8,unknown,Passing,0,3000,D,L,N
8,5,Wax,8.3942,unknown,Feeding,1,0,S,H,N
8,6,Rpela,0.9089,unknown,Feeding,1,0,S,H,N
9,1,Wax,4.4,Dif,Feeding,1,0,S,H,N
9,2,Rpela,2.4,Dif,Feeding,1,0,S,H,N
9,3,Mband,3.7953,unknown,Feeding,1,0,S,H,N
9,4,Control,4.4422,Henry,Feeding,1,0,S,H,N
9,5,Mleash,4.1575,Henry,Feeding,1,0,S,H,N
9,6,SS,14.8684,Manta,Passing,0,3892.94,S,M,N
10,1,Mband,12.2053,Henry,Feeding,1,0,S,H,N
10,2,Wax,7.0292,Henry,Feeding,1,0,S,H,N
10,3,Rpela,3.3678,Henry,Feeding,1,0,S,H,N
10,4,SS,13.7222,Henry,Passing,0,1106.304,S,H,Y
10,5,Mleash,8.3967,Henry,Feeding,1,0,S,H,N
10,6,Control,11.6481,Nollsey,Passing,0,NA,D,L,N
11,1,Control,2.0939,Henry,Feeding,1,0,S,H,N
11,2,Rpela,5.3097,Henry,Feeding,1,0,S,H,N
11,3,Wax,13.7489,Nollsey,Passing,0,3056.056,S,M,N
11,4,SS,13.4403,unknown,Passing,0,2605.133,D,L,N
11,5,Mband,14.7645,Crescent,Passing,0,3879.671,S,L,N
11,6,Mleash,0.7508,Henry,Feeding,1,0,S,H,N
12,1,SS,13.0542,Two bit,Passing,0,8335.866,S,L,N
12,2,Rpela,15.1645,Gill,Passing,0,844.922,D,M,Y
12,3,Control,3.9192,Jumpman,Feeding,1,0,S,H,N
12,4,Wax,3.8417,Gill,Feeding,1,0,S,H,N
12,5,Mband,9.4159,Franklin,Feeding,1,0,S,H,N
12,6,Mleash,8.0478,Franklin,Feeding,1,0,S,H,N
13,1,Mband,3.3517,unknown,Feeding,1,0,S,H,N
13,2,Control,2.0333,Moonface,Feeding,1,0,S,H,N
13,3,SS,5.5597,Moonface,Passing,0,2411.298,D,L,N
13,4,Rpela,13.9978,Jumpman,Passing,0,910.696,S,M,N
13,5,Mleash,2.5,Moonface,Feeding,1,0,S,H,N
13,6,Wax,3.5417,Moonface,Feeding,1,0,S,H,N
14,1,Control,2.5906,Moonface,Feeding,1,0,S,H,N
14,2,Wax,7.2925,Moonface,Feeding,1,0,V,H,N
14,3,Mband,0.98,Moonface,Feeding,1,0,S,H,N
14,4,SS,4.4083,Moonface,Feeding,1,0,S,H,N
14,5,Mleash,3.0806,Moonface,Feeding,1,0,S,H,N
14,6,Rpela,2.8361,Moonface,Feeding,1,0,S,H,N
15,1,Wax,9.5064,Jumpman,Passing,0,2266.452,S,M,N
15,2,SS,9.912,Gill,Passing,0,3186.116,S,L,N
15,3,Mband,13.9786,unknown,Passing,0,2320.712,D,L,N
15,4,Rpela,13.1136,Jumpman,Passing,0,2031.414,S,M,N
15,5,Control,5.1245,unknown,Passing,0,NA,S,L,N
15,6,Mleash,2.4128,Jumpman,Feeding,1,0,S,H,N
16,1,Rpela,15.1359,Franklin,Passing,0,2583.729,D,M,N
16,2,SS,6.8067,unknown,Passing,0,4352.147,D,L,N
16,3,Wax,11.0303,Alpha 5,Feeding,1,0,S,H,N
16,4,Mband,4.1256,Curl,Feeding,1,0,S,H,N
16,5,Control,9.0767,Curl,Feeding,1,0,S,H,N
16,6,Mleash,2.7089,Alpha 5,Feeding,1,0,S,H,N
17,1,SS,14.5348,unknown,Passing,0,3241.109,S,M,N
17,2,Mband,0.9275,Alpha 5,Feeding,1,0,S,H,N
17,3,Wax,1.1353,Alpha 5,Feeding,1,0,S,H,N
17,4,Mleash,0.6389,Alpha 5,Feeding,1,0,S,H,N
17,5,Control,2.9453,Holepunch,Feeding,1,0,S,H,N
17,6,Rpela,2.1597,Alpha 5,Feeding,1,0,S,H,N
18,1,Mleash,3.4631,Holepunch,Feeding,1,0,S,H,N
18,2,Rpela,1.7322,Holepunch,Feeding,1,0,S,H,N
18,3,Control,6.0978,Holepunch,Feeding,1,0,S,M,N
18,4,SS,3.6208,unknown,Feeding,1,0,S,H,N
18,5,Mband,1.2772,Holepunch,Feeding,1,0,S,H,N
18,6,Wax,1.6983,Alpha 5,Feeding,1,0,S,H,N
19,1,SS,4.4797,Holepunch,Feeding,1,0,S,H,N
19,2,Rpela,1.6897,Holepunch,Feeding,1,0,S,H,N
19,3,Mband,4.5156,Holepunch,Feeding,1,0,S,H,N
19,4,Wax,4.8356,Holepunch,Feeding,1,0,S,H,N
19,5,Mleash,2.1839,Holepunch,Feeding,1,0,S,H,N
19,6,Control,1.5567,Holepunch,Feeding,1,0,S,H,N
20,1,Rpela,0.5978,Holepunch,Feeding,1,0,S,H,N
20,2,Mband,1.6267,Alpha 5,Feeding,1,0,S,H,N
20,3,Wax,4.7661,Holepunch,Feeding,1,0,S,H,N
