Trial_set,Trial,det,ID,appr
1,1,Rpela,Batman,2
1,2,Mband,Batman,3
1,3,Control,Batman,3
1,4,Wax,unknown,1
1,5,SS,Batman,1
1,6,Mleash,Batman,2
2,1,Wax,unknown,2
2,2,Mleash,Anchor,3
2,3,Control,unknown,1
2,3,Control,Anchor,5
2,4,Mband,unknown,1
2,4,Mband,Anchor,1
2,5,SS,unknown,2
2,5,SS,Anchor,2
2,6,Rpela,unknown,2
3,1,Mleash,unknown,1
3,1,Mleash,Shark 3,2
3,2,Wax,Anchor,2
3,3,Control,Anchor,8
3,3,Control,Franklin,1
3,4,Mband,Franklin,4
3,5,SS,Anchor,3
3,5,SS,Franklin,6
3,6,Rpela,Franklin,4
4,1,Wax,unknown,1
4,1,Wax,Franklin,1
4,2,Rpela,Franklin,3
4,3,SS,Franklin,9
4,4,Control,Franklin,2
4,5,Mleash,unknown,1
4,5,Mleash,Franklin,2
4,6,Mband,Franklin,3
5,1,SS,Cipher,18
5,2,Wax,Franklin,2
5,3,Mleash,Franklin,4
5,4,Control,Franklin,2
5,4,Control,Shark 3,1
5,5,Rpela,Franklin,1
5,5,Rpela,Shark 3,1
5,6,Mband,Franklin,1
6,1,Rpela,Franklin,1
6,2,SS,unknown,3
6,2,SS,Cipher,7
6,3,Control,Pavarotti,2
6,4,Mband,Franklin,1
6,5,Wax,unknown,2
6,5,Wax,Pavarotti,3
6,6,Mleash,Franklin,2
6,6,Mleash,Owen Wilson,3
6,6,Mleash,Pavarotti,2
7,1,Control,Pavarotti,1
7,2,Mleash,Pavarotti,1
7,3,SS,Crescent,1
7,3,SS,Pavarotti,2
7,4,Mband,Pavarotti,2
7,5,Rpela,Pavarotti,2
7,6,Wax,Pavarotti,3
8,1,Mband,Pavarotti,1
8,2,Mleash,unknown,1
8,2,Mleash,Pavarotti,1
8,3,Control,unknown,1
8,3,Control,Pavarotti,1
8,4,SS,Dif,2
8,4,SS,unknown,4
8,5,Wax,unknown,1
8,5,Wax,Pavarotti,1
8,6,Rpela,unknown,1
8,6,Rpela,Pavarotti,1
9,1,Wax,Dif,3
9,2,Rpela,Dif,3
9,3,Mband,unknown,2
9,3,Mband,Pavarotti,1
9,4,Control,Henry,2
9,4,Control,Manta,5
9,5,Mleash,Henry,1
9,6,SS,unknown,2
9,6,SS,Henry,7
9,6,SS,Manta,2
10,1,Mband,Henry,5
10,2,Wax,Henry,1
10,3,Rpela,Henry,3
10,4,SS,Henry,13
10,5,Mleash,unknown,1
10,5,Mleash,Henry,1
10,6,Control,Henry,1
10,6,Control,Nollsey,6
11,1,Control,Henry,4
11,2,Rpela,Henry,1
11,3,Wax,Nollsey,16
11,4,SS,unknown,3
11,4,SS,Crescent,3
11,4,SS,Manta,5
11,4,SS,Nollsey,3
11,5,Mband,unknown,2
11,5,Mband,Backscratch,2
11,5,Mband,Crescent,9
11,5,Mband,Nollsey,2
11,6,Mleash,Henry,1
12,1,SS,unknown,2
12,1,SS,Franklin,3
12,1,SS,Two bit,2
12,2,Rpela,Bishop,2
12,2,Rpela,Gill,2
12,2,Rpela,Jumpman,3
12,3,Control,Bishop,1
12,3,Control,Jumpman,4
12,4,Wax,Gill,4
12,5,Mband,unknown,1
12,5,Mband,Franklin,1
12,5,Mband,Jumpman,1
12,6,Mleash,unknown,1
12,6,Mleash,Franklin,2
12,6,Mleash,Jumpman,4
13,1,Mband,unknown,1
13,1,Mband,Moonface,1
13,2,Control,Moonface,4
13,3,SS,Moonface,7
13,4,Rpela,Jumpman,5
13,4,Rpela,Moonface,5
13,5,Mleash,Moonface,2
13,6,Wax,Moonface,3
14,1,Control,Moonface,3
14,2,Wax,Moonface,5
14,3,Mband,Moonface,1
14,4,SS,Moonface,7
14,5,Mleash,Moonface,3
14,6,Rpela,Moonface,6
15,1,Wax,Jumpman,6
15,2,SS,unknown,2
15,2,SS,Gill,7
15,3,Mband,unknown,1
15,3,Mband,Gill,5
15,4,Rpela,unknown,1
15,4,Rpela,Gill,7
15,4,Rpela,Jumpman,6
15,5,Control,unknown,2
15,5,Control,Gill,2
15,6,Mleash,unknown,2
15,6,Mleash,Jumpman,3
16,1,Rpela,unknown,4
16,1,Rpela,Franklin,2
16,1,Rpela,Gill,3
16,1,Rpela,Jumpman,1
16,2,SS,unknown,4
16,2,SS,London,1
16,3,Wax,unknown,1
16,3,Wax,Alpha 5,15
16,4,Mband,unknown,1
16,4,Mband,Alpha 5,4
16,4,Mband,Curl,3
16,5,Control,unknown,3
16,5,Control,Alpha 5,1
