Trial_set,Trial,det,time,ID,Activity,dist,App_type,Intent,Reaction
1,2,Mband,2.8144,Batman,Feeding,0,V,H,N
2,2,Mleash,0.9078,Anchor,Feeding,0,S,M,N
2,3,Control,10.8894,Anchor,Feeding,0,S,H,N
3,3,Control,11.6916,Franklin,Feeding,0,S,H,N
3,4,Mband,2.2464,Franklin,Feeding,0,S,H,N
3,5,SS,11.83,Franklin,Feeding,0,S,H,N
3,6,Rpela,7.0347,Franklin,Feeding,0,S,H,N
4,1,Wax,14.9131,Franklin,Feeding,0,S,H,N
4,2,Rpela,3.2395,Franklin,Feeding,0,S,H,N
4,4,Control,2.9028,Franklin,Feeding,0,S,H,N
4,5,Mleash,6.7706,Franklin,Feeding,0,S,H,N
4,6,Mband,1.9064,Franklin,Feeding,0,S,H,N
5,2,Wax,1.1572,Franklin,Feeding,0,S,H,N
5,3,Mleash,1.5575,Franklin,Feeding,0,S,H,N
5,4,Control,4.4528,Franklin,Feeding,0,S,H,N
5,5,Rpela,3.8867,Shark 3,Feeding,0,V,H,N
5,6,Mband,1.3467,Franklin,Feeding,0,S,H,N
6,1,Rpela,0.6672,Franklin,Feeding,0,S,H,N
6,3,Control,0.5942,Pavarotti,Feeding,0,S,H,N
6,4,Mband,0.3556,Franklin,Feeding,0,S,H,N
6,5,Wax,6.58,Pavarotti,Feeding,0,S,H,N
6,6,Mleash,10.9684,Pavarotti,Feeding,0,S,H,N
7,1,Control,1.9383,Pavarotti,Feeding,0,S,H,N
7,2,Mleash,6.9011,Pavarotti,Feeding,0,S,H,N
7,4,Mband,2.5733,Pavarotti,Feeding,0,S,H,N
7,5,Rpela,3.1264,Pavarotti,Feeding,0,S,H,N
7,6,Wax,5.0564,Pavarotti,Feeding,0,S,H,N
8,1,Mband,4.1025,Pavarotti,Feeding,0,S,H,N
8,2,Mleash,3.7528,unknown,Feeding,0,S,H,N
8,3,Control,3.727,unknown,Feeding,0,S,H,N
8,5,Wax,8.3942,unknown,Feeding,0,S,H,N
8,6,Rpela,0.9089,unknown,Feeding,0,S,H,N
9,1,Wax,4.4,Dif,Feeding,0,S,H,N
9,2,Rpela,2.4,Dif,Feeding,0,S,H,N
9,3,Mband,3.7953,unknown,Feeding,0,S,H,N
9,4,Control,4.4422,Henry,Feeding,0,S,H,N
9,5,Mleash,4.1575,Henry,Feeding,0,S,H,N
10,1,Mband,12.2053,Henry,Feeding,0,S,H,N
10,2,Wax,7.0292,Henry,Feeding,0,S,H,N
10,3,Rpela,3.3678,Henry,Feeding,0,S,H,N
10,5,Mleash,8.3967,Henry,Feeding,0,S,H,N
11,1,Control,2.0939,Henry,Feeding,0,S,H,N
11,2,Rpela,5.3097,Henry,Feeding,0,S,H,N
11,6,Mleash,0.7508,Henry,Feeding,0,S,H,N
12,3,Control,3.9192,Jumpman,Feeding,0,S,H,N
12,4,Wax,3.8417,Gill,Feeding,0,S,H,N
12,5,Mband,9.4159,Franklin,Feeding,0,S,H,N
12,6,Mleash,8.0478,Franklin,Feeding,0,S,H,N
13,1,Mband,3.3517,unknown,Feeding,0,S,H,N
13,2,Control,2.0333,Moonface,Feeding,0,S,H,N
