Trial_set,Trial,det,time.x,time.y,time_diff
1,1,Rpela,2.7678,NA,NA
1,2,Mband,2.1144,2.8144,0.7
1,3,Control,8.5783,NA,NA
1,4,Wax,7.108,NA,NA
1,5,SS,9.308,NA,NA
1,6,Mleash,13.2577,NA,NA
2,1,Wax,6,NA,NA
2,2,Mleash,0.3158,0.9078,0.592
2,3,Control,2.3853,10.8894,8.5041
2,4,Mband,2.7744,NA,NA
2,5,SS,3.1403,NA,NA
2,6,Rpela,6,NA,NA
3,1,Mleash,6.5136,NA,NA
3,2,Wax,12.7513,NA,NA
3,3,Control,1.1103,11.6916,10.5813
3,4,Mband,0.7272,2.2464,1.5192
3,5,SS,6.3503,11.83,5.4797
3,6,Rpela,6.5925,7.0347,0.4422
4,1,Wax,11.592,14.9131,3.3211
4,2,Rpela,2.6583,3.2395,0.5812
4,3,SS,1.875,NA,NA
4,4,Control,2.0536,2.9028,0.8492
4,5,Mleash,2.1692,6.7706,4.6014
4,6,Mband,0.3733,1.9064,1.5331
5,1,SS,1.0353,NA,NA
5,2,Wax,0.3736,1.1572,0.7836
5,3,Mleash,0.7275,1.5575,0.83
5,4,Control,0.0881,4.4528,4.3647
5,5,Rpela,1.8622,3.8867,2.0245
5,6,Mband,1.3467,1.3467,0
6,1,Rpela,0.6672,0.6672,0
6,2,SS,0.05,NA,NA
6,3,Control,0.3325,0.5942,0.2617
6,4,Mband,0.3556,0.3556,0
6,5,Wax,1.1903,6.58,5.3897
6,6,Mleash,0.5708,10.9684,10.3976
7,1,Control,1.9383,1.9383,0
7,2,Mleash,6.9011,6.9011,0
7,3,SS,1.8278,NA,NA
7,4,Mband,2.3669,2.5733,0.2064
7,5,Rpela,2.9342,3.1264,0.1922
7,6,Wax,0.4178,5.0564,4.6386
8,1,Mband,4.1025,4.1025,0
8,2,Mleash,1.9467,3.7528,1.8061
8,3,Control,3.4797,3.727,0.2473
8,4,SS,3,NA,NA
8,5,Wax,8.1381,8.3942,0.2561
8,6,Rpela,0.3822,0.9089,0.5267
9,1,Wax,4,4.4,0.4
9,2,Rpela,2,2.4,0.4
9,3,Mband,2.6436,3.7953,1.1517
9,4,Control,0.6325,4.4422,3.8097
9,5,Mleash,4.1575,4.1575,0
9,6,SS,4.6108,NA,NA
10,1,Mband,7.0778,12.2053,5.1275
10,2,Wax,7.0292,7.0292,0
10,3,Rpela,2.1733,3.3678,1.1945
10,4,SS,0.7222,NA,NA
10,5,Mleash,1.8897,8.3967,6.507
10,6,Control,3.5556,NA,NA
11,1,Control,1.1269,2.0939,0.967
11,2,Rpela,5.3097,5.3097,0
11,3,Wax,0.8744,NA,NA
11,4,SS,0.7311,NA,NA
11,5,Mband,0.3639,NA,NA
11,6,Mleash,0.7508,0.7508,0
12,1,SS,1.4117,NA,NA
12,2,Rpela,1.8156,NA,NA
12,3,Control,0.6489,3.9192,3.2703
12,4,Wax,2.815,3.8417,1.0267
12,5,Mband,2.4414,9.4159,6.9745
12,6,Mleash,1.1883,8.0478,6.8595
13,1,Mband,0.1942,3.3517,3.1575
13,2,Control,0.3592,2.0333,1.6741
13,3,SS,0.5672,NA,NA
13,4,Rpela,4.3867,NA,NA
13,5,Mleash,0.7939,2.5,1.7061
13,6,Wax,2.9875,3.5417,0.5542
14,1,Control,1.7928,2.5906,0.7978
14,2,Wax,0.5211,7.2925,6.7714
14,3,Mband,0.98,0.98,0
14,4,SS,1.1236,4.4083,3.2847
14,5,Mleash,0.9558,3.0806,2.1248
14,6,Rpela,0.1972,2.8361,2.6389
15,1,Wax,6.1467,NA,NA
15,2,SS,1.5519,NA,NA
15,3,Mband,4.9425,NA,NA
15,4,Rpela,1.795,NA,NA
15,5,Control,0.1683,NA,NA
15,6,Mleash,1.2128,2.4128,1.2
16,1,Rpela,4.4528,NA,NA
16,2,SS,2.4628,NA,NA
16,3,Wax,0.7789,11.0303,10.2514
16,4,Mband,0.3489,4.1256,3.7767
16,5,Control,2.6217,9.0767,6.455
16,6,Mleash,0.635,2.7089,2.0739
17,1,SS,3.0231,NA,NA
17,2,Mband,0.2217,0.9275,0.7058
17,3,Wax,1.1353,1.1353,0
17,4,Mleash,0.4039,0.6389,0.235
17,5,Control,0.8478,2.9453,2.0975
17,6,Rpela,0.2622,2.1597,1.8975
18,1,Mleash,0.5575,3.4631,2.9056
18,2,Rpela,1.7322,1.7322,0
18,3,Control,2.4117,6.0978,3.6861
18,4,SS,0.2642,3.6208,3.3566
18,5,Mband,1.2772,1.2772,0
18,6,Wax,1.4347,1.6983,0.2636
19,1,SS,2.6864,4.4797,1.7933
19,2,Rpela,1.0719,1.6897,0.6178
19,3,Mband,1.2633,4.5156,3.2523
19,4,Wax,3.8945,4.8356,0.9411
19,5,Mleash,0.4092,2.1839,1.7747
19,6,Control,0.2792,1.5567,1.2775
20,1,Rpela,0.5978,0.5978,0
20,2,Mband,1.4147,1.6267,0.212
20,3,Wax,3.6956,4.7661,1.0705
20,4,Control,4.3875,4.6028,0.2153
20,5,Mleash,0.4761,3.9925,3.5164
20,6,SS,0.6431,0.8856,0.2425
21,1,Mband,2.6369,10.3609,7.724
21,2,Control,6.7211,9.2478,2.5267
21,3,SS,0.73,NA,NA
21,4,Wax,0.4717,1.5389,1.0672
21,5,Mleash,1.4706,2.4975,1.0269
21,6,Rpela,0.3172,1.0678,0.7506
22,1,Mleash,0.7528,2.6333,1.8805
22,2,Control,1.1728,1.7006,0.5278
22,3,Wax,1.1394,1.1394,0
22,4,Rpela,2.7319,3.2397,0.5078
22,5,Mband,2.2703,4.4345,2.1642
22,6,SS,0.3214,4.5767,4.2553
23,1,Mband,1.5278,1.5278,0
23,3,Mleash,1.5769,1.5769,0
23,4,SS,0.8139,1.1311,0.3172
23,5,Control,1.4775,4.5503,3.0728
23,6,Wax,0.5633,3.0589,2.4956
24,1,Rpela,2.3231,12.4195,10.0964
24,2,Mband,1.0097,7.2456,6.2359
24,3,SS,8.7406,NA,NA
24,4,Control,1.0264,1.0264,0
24,5,Wax,0.9739,0.9739,0
24,6,Mleash,3.4728,3.4728,0
25,1,Control,2.1978,2.1978,0
25,2,Wax,0.4267,0.4814,0.0547
25,3,Mleash,0.4503,1.2711,0.8208
25,4,SS,1.6842,2.8975,1.2133
25,5,Mband,2.4683,2.4683,0
25,6,Rpela,1.8161,8.5014,6.6853
26,1,Mband,2.0336,3.5339,1.5003
26,2,Mleash,NA,NA,NA
26,3,SS,2.0542,NA,NA
26,4,Wax,0.1117,12.1877,12.076
26,5,Rpela,1.7822,9.6905,7.9083
26,6,Control,0.1372,3.693,3.5558
27,1,Wax,0.6061,2.2317,1.6256
27,2,Rpela,0.7406,3.2544,2.5138
27,3,Mleash,1.6708,1.9289,0.2581
27,4,SS,1.1464,8.835,7.6886
27,5,Mband,2.6236,3.3625,0.7389
27,6,Control,0.5,0.5747,0.0747
28,1,Mleash,0.2567,1.6153,1.3586
28,2,Control,0.8033,1.0394,0.2361
28,3,Rpela,0.4431,0.6081,0.165
28,4,SS,0.0586,3.2078,3.1492
28,5,Wax,0.7431,0.8536,0.1105
28,6,Mband,0.5511,4.1861,3.635
29,1,Control,1.2967,3.3836,2.0869
29,2,Wax,0.5008,0.5008,0
29,3,Mband,1.0478,2.9294,1.8816
29,4,Rpela,0.3736,1.5775,1.2039
