Trial_set,Trial,det,time,ID,Activity,dist,App_type,Intent,Reaction
1,1,Rpela,2.7678,Batman,Passing,1418.769,S,H,N
1,1,Rpela,11.2955,Batman,Passing,3317.79,D,M,N
1,2,Mband,2.1144,Batman,Passing,1811.899,D,M,N
1,2,Mband,2.4033,Batman,Passing,1814.844,S,H,N
1,2,Mband,2.8144,Batman,Feeding,0,V,H,N
1,3,Control,8.5783,Batman,Passing,2230.91,V,H,N
1,3,Control,10.3205,Batman,Passing,4005.581,D,L,N
1,3,Control,14.3899,Batman,Passing,3800.78,D,L,N
1,4,Wax,7.108,unknown,Passing,NA,D,L,N
1,5,SS,9.308,Batman,Passing,839.107,V,H,Y
1,6,Mleash,13.2577,Batman,Passing,1981.263,D,H,N
1,6,Mleash,14.4619,Batman,Passing,4133.266,D,L,N
2,1,Wax,6,unknown,Passing,10000,S,L,N
2,1,Wax,10,unknown,Passing,5000,S,L,N
2,2,Mleash,0.3158,Anchor,Passing,NA,S,M,N
2,2,Mleash,0.8261,Anchor,Passing,3558.826,S,M,N
2,2,Mleash,0.9078,Anchor,Feeding,0,S,M,N
2,3,Control,2.3853,unknown,Passing,NA,D,L,N
2,3,Control,4.488,Anchor,Passing,3523.361,D,M,N
2,3,Control,4.74,Anchor,Passing,1523.122,D,M,N
2,3,Control,5.1466,Anchor,Passing,2856.603,S,H,N
2,3,Control,10.8,Anchor,Passing,752.92,S,H,N
2,3,Control,10.8894,Anchor,Feeding,0,S,H,N
2,4,Mband,2.7744,unknown,Passing,5020.427,D,M,N
2,4,Mband,3.1372,Anchor,Passing,1941.415,D,M,N
2,5,SS,3.1403,Anchor,Passing,2512.088,S,M,N
2,5,SS,8.5175,Anchor,Passing,2994.737,D,L,N
2,5,SS,12.218,unknown,Passing,4577.848,D,L,N
2,5,SS,14.4649,unknown,Passing,NA,D,L,N
2,6,Rpela,6,unknown,Passing,2500,S,M,N
2,6,Rpela,10,unknown,Passing,NA,D,L,N
3,1,Mleash,6.5136,Shark 3,Passing,4136.58,S,M,N
3,1,Mleash,7.0339,Shark 3,Passing,3409.839,D,L,N
3,1,Mleash,10.5086,unknown,Passing,4994.949,D,L,N
3,2,Wax,12.7513,Anchor,Passing,NA,S,M,N
3,2,Wax,13.0419,Anchor,Passing,1969.714,D,L,N
3,3,Control,1.1103,Anchor,Passing,NA,S,M,N
3,3,Control,1.2083,Anchor,Passing,NA,S,M,N
3,3,Control,4.8297,Anchor,Passing,NA,S,M,N
3,3,Control,4.898,Anchor,Passing,1449.003,S,H,N
3,3,Control,5.41,Anchor,Passing,3232.064,S,H,N
3,3,Control,9.5686,Anchor,Passing,2191.887,S,H,N
3,3,Control,9.7463,Anchor,Passing,521.264,S,H,N
3,3,Control,9.8575,Anchor,Passing,2891.377,S,H,Y
3,3,Control,11.6916,Franklin,Feeding,0,S,H,N
3,4,Mband,0.7272,Franklin,Passing,NA,S,L,N
3,4,Mband,1.6953,Franklin,Passing,2271.606,S,M,N
3,4,Mband,2.0833,Franklin,Passing,1071.389,S,M,N
3,4,Mband,2.2464,Franklin,Feeding,0,S,H,N
3,5,SS,6.3503,Anchor,Passing,2823.207,S,M,N
3,5,SS,6.9,Anchor,Passing,4551.295,D,L,N
3,5,SS,7.5964,Anchor,Passing,3492.354,S,L,N
3,5,SS,8.5155,Franklin,Passing,3627.912,S,L,N
3,5,SS,9.3344,Franklin,Passing,NA,S,L,N
3,5,SS,10.9738,Franklin,Passing,2196.384,S,M,N
3,5,SS,11.2825,Franklin,Passing,1809.724,S,M,N
3,5,SS,11.5805,Franklin,Passing,2511.355,S,M,N
3,5,SS,11.83,Franklin,Feeding,0,S,H,N
3,6,Rpela,6.5925,Franklin,Passing,1070.502,S,M,N
3,6,Rpela,6.7211,Franklin,Passing,974.663,S,H,N
3,6,Rpela,6.825,Franklin,Passing,1189.068,S,H,N
3,6,Rpela,7.0347,Franklin,Feeding,0,S,H,N
4,1,Wax,11.592,unknown,Passing,NA,S,L,N
4,1,Wax,14.9131,Franklin,Feeding,0,S,H,N
4,2,Rpela,2.6583,Franklin,Passing,2219.618,D,M,N
4,2,Rpela,3.0197,Franklin,Passing,1971.343,S,M,N
4,2,Rpela,3.2395,Franklin,Feeding,0,S,H,N
4,3,SS,1.875,Franklin,Passing,4861.361,S,L,N
4,3,SS,2.0408,Franklin,Passing,1589.697,S,M,Y
4,3,SS,5.2133,Franklin,Passing,1454.059,S,M,N
4,3,SS,6.0111,Franklin,Passing,533.439,S,H,Y
4,3,SS,6.2775,Franklin,Passing,327.128,S,H,Y
4,3,SS,6.5586,Franklin,Passing,1079.974,S,H,N
4,3,SS,6.9133,Franklin,Passing,3168.942,D,M,N
4,3,SS,7.2778,Franklin,Passing,2650.647,D,M,N
4,3,SS,9.4156,Franklin,Passing,3157.372,D,L,N
4,4,Control,2.0536,Franklin,Passing,3566.612,S,M,N
4,4,Control,2.9028,Franklin,Feeding,0,S,H,N
4,5,Mleash,2.1692,unknown,Passing,NA,D,L,N
4,5,Mleash,6.5181,Franklin,Passing,3147.453,D,L,N
4,5,Mleash,6.7706,Franklin,Feeding,0,S,H,N
4,6,Mband,0.3733,Franklin,Passing,2657.94,S,M,N
4,6,Mband,0.3747,Franklin,Passing,NA,S,M,N
4,6,Mband,1.9064,Franklin,Feeding,0,S,H,N
5,1,SS,1.0353,Cipher,Passing,3309.747,D,L,N
5,1,SS,1.4539,Cipher,Passing,1686.719,D,L,N
5,1,SS,1.7761,Cipher,Passing,4157.153,D,L,N
5,1,SS,3.0378,Cipher,Passing,1118.855,S,H,Y
5,1,SS,4.2311,Cipher,Passing,1885.301,S,M,Y
5,1,SS,4.4117,Cipher,Passing,NA,S,M,N
5,1,SS,4.5858,Cipher,Passing,2753.322,S,M,N
5,1,SS,4.7753,Cipher,Passing,NA,S,M,N
5,1,SS,4.8661,Cipher,Passing,1086.406,S,H,Y
5,1,SS,5.0956,Cipher,Passing,2311.626,S,H,N
5,1,SS,5.3025,Cipher,Passing,1048.861,S,H,N
5,1,SS,5.6528,Cipher,Passing,NA,S,H,N
5,1,SS,6.1211,Cipher,Passing,1682.889,S,H,Y
5,1,SS,6.9967,Cipher,Passing,5122.631,S,H,N
5,1,SS,7.1661,Cipher,Passing,2006.894,S,H,N
5,1,SS,8.6325,Cipher,Passing,NA,S,H,N
5,1,SS,10.0903,Cipher,Passing,1515.173,S,H,N
5,1,SS,10.2361,Cipher,Passing,1924,S,H,Y
5,2,Wax,0.3736,Franklin,Passing,4366.605,S,L,N
5,2,Wax,1.1572,Franklin,Feeding,0,S,H,N
5,3,Mleash,0.7275,Franklin,Passing,NA,S,L,N
5,3,Mleash,0.9456,Franklin,Passing,1859.518,S,L,N
5,3,Mleash,1.2264,Franklin,Passing,6155.831,D,L,N
5,3,Mleash,1.5575,Franklin,Feeding,0,S,H,N
5,4,Control,0.0881,Shark 3,Passing,NA,D,M,N
5,4,Control,3.4292,Franklin,Passing,2249.909,S,M,N
5,4,Control,4.4528,Franklin,Feeding,0,S,H,N
5,5,Rpela,1.8622,Franklin,Passing,2258.234,S,M,N
5,5,Rpela,3.8867,Shark 3,Feeding,0,V,H,N
5,6,Mband,1.3467,Franklin,Feeding,0,S,H,N
6,1,Rpela,0.6672,Franklin,Feeding,0,S,H,N
6,2,SS,0.05,unknown,Passing,NA,S,M,N
6,2,SS,1.3094,unknown,Passing,1080.06,S,H,Y
6,2,SS,1.4747,unknown,Passing,448.692,S,H,N
6,2,SS,2.1078,Cipher,Passing,1287.235,S,H,Y
6,2,SS,2.2764,Cipher,Passing,1909.35,S,H,N
6,2,SS,2.4417,Cipher,Passing,2068.537,S,H,N
6,2,SS,4.6664,Cipher,Passing,1645.228,S,H,N
6,2,SS,5.1356,Cipher,Passing,528.539,S,H,Y
6,2,SS,5.2572,Cipher,Passing,2104.328,S,H,N
6,2,SS,5.8083,Cipher,Passing,2117.721,S,H,N
6,3,Control,0.3325,Pavarotti,Passing,NA,S,H,N
6,3,Control,0.5942,Pavarotti,Feeding,0,S,H,N
6,4,Mband,0.3556,Franklin,Feeding,0,S,H,N
6,5,Wax,1.1903,unknown,Passing,NA,D,L,N
6,5,Wax,5.4161,Pavarotti,Passing,5282.381,S,M,N
6,5,Wax,5.7581,Pavarotti,Passing,1432.778,S,M,N
6,5,Wax,6.1742,unknown,Passing,NA,D,L,N
6,5,Wax,6.58,Pavarotti,Feeding,0,S,H,N
6,6,Mleash,0.5708,Franklin,Passing,NA,S,M,N
6,6,Mleash,1.4817,Franklin,Passing,3780.482,D,L,N
6,6,Mleash,6.672,Owen Wilson,Passing,2166.25,D,M,N
6,6,Mleash,6.6761,Owen Wilson,Passing,1987.485,D,M,N
6,6,Mleash,7.6728,Owen Wilson,Passing,1459.091,S,M,N
6,6,Mleash,10.3992,Pavarotti,Passing,687.415,S,M,N
6,6,Mleash,10.9684,Pavarotti,Feeding,0,S,H,N
7,1,Control,1.9383,Pavarotti,Feeding,0,S,H,N
7,2,Mleash,6.9011,Pavarotti,Feeding,0,S,H,N
7,3,SS,1.8278,Pavarotti,Passing,2048.6,D,M,N
7,3,SS,3.9722,Pavarotti,Passing,2614.143,S,M,N
7,3,SS,6.1356,Crescent,Passing,NA,D,L,N
7,4,Mband,2.3669,Pavarotti,Passing,888.096,S,M,N
7,4,Mband,2.5733,Pavarotti,Feeding,0,S,H,N
7,5,Rpela,2.9342,Pavarotti,Passing,NA,S,M,N
7,5,Rpela,3.1264,Pavarotti,Feeding,0,S,H,N
7,6,Wax,0.4178,Pavarotti,Passing,2130.026,S,M,N
7,6,Wax,4.9083,Pavarotti,Passing,1506.878,S,H,N
7,6,Wax,5.0564,Pavarotti,Feeding,0,S,H,N
8,1,Mband,4.1025,Pavarotti,Feeding,0,S,H,N
8,2,Mleash,1.9467,Pavarotti,Passing,479.655,S,H,N
8,2,Mleash,3.7528,unknown,Feeding,0,S,H,N
8,3,Control,3.4797,Pavarotti,Passing,798.271,V,H,N
8,3,Control,3.727,unknown,Feeding,0,S,H,N
8,4,SS,3,Dif,Passing,2000,S,M,N
